,School,Test Optional?,Applies to Class Year(s),Policy Details,Number of Applicants,Accept Rate,SAT Total 25th-75th Percentile,ACT Total 25th-75th Percentile,STATE
81,SMITH COLLEGE,Yes,All / Permanent Policy,Smith College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students are not eligible for test optional admission.,5597,32.5%,1340-1520,30-33,MA
82,BRYN MAWR COLLEGE,Yes,All / Permanent Policy,Bryn Mawr offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students are not eligible for test optional admission.,3332,33.1%,1290-1510,29-33,PA
83,TRINITY COLLEGE (HARTFORD),Yes,All / Permanent Policy,Trinity offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,6096,33.5%,1300-1460,29-32,
84,DENISON UNIVERSITY,Yes,All / Permanent Policy,Denison offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,8042,33.9%,1210-1380,28-31,OH
85,SAN DIEGO STATE UNIVERSITY,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,69842,34.0%,1110-1320,22-29,CA
86,KENYON COLLEGE,Yes,2021,Kenyon has adopted a one-year test optional policy for applicants both domestic and international in the 2020-21 admission cycle.,6662,34.1%,1270-1460,29-33,OH
87,COLLEGE OF THE HOLY CROSS,Yes,All / Permanent Policy,The College of the Holy Cross offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,7200,34.2%,1260-1430,28-32,MA
88,BUCKNELL UNIVERSITY,Yes,2021 2022 2023 2024 2025,Bucknell University adopted a five-year test optional policy for first-year students beginning with the 2020-21 admission cycle. However homeschooled students and international students are not eligible for test optional admission. Bucknell will use the five-year pilot period to assess the patterns of success for test score submitters and non-submitters.,9845,34.2%,1255-1430,28-32,PA
89,EMERSON COLLEGE,Yes,All / Permanent Policy,Emerson College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,12941,35.6%,1200-1390,27-31,MA
90,PEPPERDINE UNIVERSITY,Yes,2021,Pepperdine University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,11265,35.7%,1220-1420,26-32,CA
91,HAMPTON UNIVERSITY,Yes*,All / Permanent Policy,Hampton University requires either the SAT or ACT however they will waive this requirement for students with a 3.3+ GPA or who rank in the top 10% of their class. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,13028,36.0%,1040-1310,19-24,VA
92,OBERLIN COLLEGE,Yes,2021 2022 2023,Oberlin College has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Oberlin will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,7708,36.4%,1280-1480,29-33,OH
93,CUNY--HUNTER,Yes (TB),2021,The CUNY system has adopted a one-year Test Blind policy for students applying to the Spring 2021 Fall 2021 and Spring 2022 semesters.,31030,36.4%,1090-1260,--,
