,School,Test Optional?,Applies to Class Year(s),Policy Details,Number of Applicants,Accept Rate,SAT Total 25th-75th Percentile,ACT Total 25th-75th Percentile,STATE
375,WEBER STATE,Yes,All / Permanent Policy,Weber State University offers a test optional policy which allows first-year applicants to be considered for admission without SAT or ACT scores. However scores are recommended to help determine scholarship eligibility and Math & English placement.,6853,89.1%,--,18-24,
376,UNIVERSITY OF MAINE,Yes,2021 2022,University of Maine has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period UM will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,13118,90.2%,1050-1260,21-27,ME
377,HUMBOLDT STATE UNIVERSITY,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,16335,90.9%,980-1190,17-25,CA
378,UTAH STATE,Yes,2021,Utah State has adopted a one-year test optional policy for students applying to enroll in the 2021 terms.,15276,91.0%,1050-1310,21-28,
379,IOWA STATE UNIVERSITY,Yes,2021,Iowa State University has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,18246,92.1%,1100-1340,22-28,IA
380,WASHINGTON COLLEGE,Yes,All / Permanent Policy,Ursinus College has a test-optional policy which allows students to be considered for admissions without submitting SAT or ACT scores. However homeschooled applicants and internantional applicants are not eligible for test optional admission.,2225,92.4%,1090-1300,20-29,MD
381,UNIVERSITY OF MONTANA,Yes,2021,University of Montana has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,6182,92.6%,1060-1270,21-26,
382,SAMFORD UNIVERSITY,Yes,2021,Samford University has adopted a one-year test optional policy for students applying to the Fall 2021 semester.,3912,92.9%,1070-1250,23-29,AL
383,UNIVERSITY OF KANSAS,Yes*,All / Permanent Policy,The University of Kansas requires either the SAT or the ACT. However they will waive the requirement for students with a 3.4+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,15093,93.1%,--,23-29,KS
384,UNIVERSITY OF KENTUCKY,Yes,2021,The University of Kentucky has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,19324,94.5%,1080-1300,23-29,KY
385,UNIVERSITY OF TOLEDO,Yes,All / Permanent Policy,University of Toledo offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students whose high schools do not provide grades are not eligible for test optional admission.,10228,95.1%,1000-1240,20-26,OH
386,KANSAS STATE UNIVERSITY,Yes*,All / Permanent Policy,Kansas State requires either the SAT or ACT. However they will waive the requirement for students with a 3.25+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,8140,95.7%,--,22-28,KS
387,PORTLAND STATE,Yes,All / Permanent Policy,Portland State offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However students who attended homeschool or a non-accredited non-standard high school are required to submit test scores.,7821,96.1%,1010-1230,18-25,
388,QUEENS UNIVERSITY OF CHARLOTTE,Yes,All / Permanent Policy,Queens University of Charlotte offers a test optional policy which allows students to be considered for admission without SAT or ACT scores though they encourage applicants to submit scores.,2319,96.2%,1040-1240,21-27,NC
389,WESTERN KENTUCKY,Yes*,All / Permanent Policy,WKU offers a test optional policy for students with a 2.5+ GPA.,8245,97.3%,990-1220,19-27,
390,UNITED STATES NAVAL ACADEMY,No,,USNA requires either the SAT or ACT. It does not require the optional SAT essay or ACT Writing Test. Subject Tests are not required.,16332,8.3%,1240-1520,27-32,MD
391,UNITED STATES MILITARY ACADEMY,No,,The US Military Academy requires either the SAT with Essay or ACT with Writing. Subject Tests are not required.,11675,10.3%,1160-1380,25-30,NY
392,UNITED STATES AIR FORCE ACADEMY,No,,The United States Air Force Academy requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,10354,11.1%,1230-1440,28-33,CO
393,UNITED STATES COAST GUARD ACADEMY,No,,The United States Coast Guard Academy requires either the SAT with Essay or ACT with Writing. Subject Tests are not required.,2274,12.8%,1245-1420,26-31,CT
394,UNITED STATES MERCHANT MARITIME ACADEMY,No,,USMMA requires either the SAT or ACT. It does not require the optional SAT essay or ACT Writing Test. Subject Tests are not required.,1693,24.8%,1200-1340,25-31,
395,HOWARD UNIVERSITY,No,,Howard University requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,20946,31.6%,1140-1285,22-27,DC
396,FLORIDA STATE UNIVERSITY,No,,Florida State University requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,58936,36.0%,1200-1340,26-30,FL
397,HILLSDALE COLLEGE,No,,Hillsdale College requires either the SAT the ACT or the CLT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,2208,36.0%,1275-1465,29-32,MI
398,UNIVERSITY OF CENTRAL FLORIDA,No,,University of Central Florida requires either the SAT or ACT. It does not require the SAT Essay or ACT Writing Test. Subject Tests are not required.,35240,38.2%,1160-1340,25-29,FL
399,UNIVERSITY OF FLORIDA,No,,The University of Florida requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,38905,38.8%,1280-1440,27-32,FL
400,UNIVERSITY OF SOUTH FLORIDA,No,,University of South Florida requries either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not considered.,36986,47.7%,1170-1330,25-29,FL
401,GALLAUDET UNIVERSITY,No,,Gallaudet University requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,496,57.1%,793-1078,15-20,DC
402,FLORIDA INTERNATIONAL,No,,Florida International University requires either the SAT or ACT. It does not require the SAT Essay or ACT Writing Test. It does not consider SAT Subject Test scores.,18492,57.5%,1240-1300,23-28,
403,MOREHOUSE COLLEGE,No,,Morehouse College requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,3554,57.9%,1010-1210,20-25,GA
404,UNIVERSITY OF ALABAMA,No,,University of Alabama requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,37302,59.1%,1060-1280,23-31,
405,MILWAUKEE SCHOOL OF ENGINEERING,No,,The Milwaukee School of Engineering requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,3552,61.7%,--,25-30,WI
406,FLORIDA INSTITUTE OF TECHNOLOGY,No,,Florida Institute of Technology requires either the SAT or ACT. It generally does not require the optional SAT Essay or ACT Writing Test but it may be required for some applicants. Subject Tests are not required however the Math II Chemistry Physics and Literature Subject Tests are recommended for homeschooled applicants.,9743,65.7%,1150-1360,24-30,FL
407,LOUISIANA STATE UNIVERSITY—​BATON ROUGE,No,,Louisiana State University requires either the SAT or the ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,24501,74.6%,1080-1310,23-29,
408,THE CITADEL,No,,The Citadel requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,2742,74.7%,1050-1230,20-25,
409,NEW COLLEGE OF FLORIDA,No,,The New College of Florida requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,1340,76.8%,1220-1420,26-31,FL
410,THOMAS AQUINAS COLLEGE,No,,Thomas Aquinas College requires requires that applicants take the SAT the ACT or the Classic Learning Test. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required. Thomas Aquinas College does not offer merit-based aid.,211,77.7%,1220-1400,25-30,CA
411,UNIVERSITY OF TEXAS RIO GRANDE VALLEY,No,,University of Texas Rio Grande Valley requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,10680,79.8%,950-1130,17-22,
412,UNIVERSITY OF SOUTH DAKOTA,No,,Unviersity of South Dakota requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,4434,86.4%,990-1180,19-25,SD
413,UNIVERSITY OF MISSISSIPPI,No,,Ole Miss requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,15371,88.1%,1050-1270,21-29,MS
414,UNIVERSITY OF WYOMING,No,,University of Wyoming requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,5348,96.0%,1060-1280,22-28,WY
415,UNIVERSITY OF TEXAS EL PASO,No,,UTEP requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. It does not superscore.,7157,99.9%,820-1050,17-23,
